start_ns,end_ns,latency_ms
4782538091568,4787558534069,5020
5206335454357,5214461020436,8125
5214523462949,5312933089110,98409
5312953228359,5321724159504,8770
5321785426930,5331463229277,9677
5331483364753,5345149358706,13665
5345230697071,5357494083839,12263
5357514218126,5374134771466,16620
5374176061530,5382043088794,7867
5382063303328,5391143708451,9080
5391164876448,5399133835619,7968
5399153973816,5411322583798,12168
5411343754728,5422221019071,10877
5422241128772,5434729760302,12488
5434770858089,5443439996770,8669
5443460134686,5455124906376,11664
5455165983976,5463032686758,7866
5463052816109,5473130083302,10077
5473151251191,5480917754270,7766
5480937889899,5490209839701,9271
5490231034820,5497194831664,6963
5497214961699,5509376497461,12161
5509417786636,5522906582900,13488
5522926718583,5531496018953,8569
5531537102357,5543217548893,11680
5543237688550,5552408983775,9171
5552429981569,5564511034468,12081
5564531181380,5575006637849,10475
5575027807025,5585791502087,10763
5585811727704,5601085017351,15273
5601106253007,5612286763005,11180
5612306902219,5623170538888,10863
5623211453913,5631380551984,8169
5631400679948,5641575834445,10175
5641616670677,5650187791201,8571
5650208099979,5661486487651,11278
5661507291948,5671583021577,10075
5671603107554,5712611264056,41008
5712632424529,5721609171821,8976
5721629306884,5740236734728,18607
5740257636712,5749330442326,9072
5749350577452,5759327753295,9977
5759388813078,5767256942535,7868
5767277095117,5776840381735,9563
5776881312741,5786354223884,9472
5786374357884,5795849295800,9474
5795890472638,5807370177140,11479
5807390308900,5820154084408,12763
5820175152804,5829748044806,9572
5829768195488,5840848091481,11079
5840869346419,5848938815831,8069
5848958950865,5860022741729,11063
