start_ns,end_ns,latency_ms,path
5214461118842,5214523384169,62,/tmp/observe_1774098775038093603.png
5321724221034,5321785372175,61,/tmp/observe_1774098882294168624.png
5345149417023,5345230635263,81,/tmp/observe_1774098905738049286.png
5374134838653,5374175998533,41,/tmp/observe_1774098934691270119.png
5391143772355,5391164816315,21,/tmp/observe_1774098951669378329.png
5411322642534,5411343709332,21,/tmp/observe_1774098971863679586.png
5434729817711,5434770801378,40,/tmp/observe_1774098995276462265.png
5455124962040,5455165920979,40,/tmp/observe_1774099015669155576.png
5473130148115,5473151195877,21,/tmp/observe_1774099033661633787.png
5490209902698,5490230969938,21,/tmp/observe_1774099050741945352.png
5509376567722,5509417735861,41,/tmp/observe_1774099069936630733.png
5531496076642,5531537034541,40,/tmp/observe_1774099092039035073.png
5552409048658,5552429926254,20,/tmp/observe_1774099112936906340.png
5575006700357,5575027745076,21,/tmp/observe_1774099135532528170.png
5601085081535,5601106192873,21,/tmp/observe_1774099161612158108.png
5623170599021,5623211402789,40,/tmp/observe_1774099183718849852.png
5641575887454,5641616614315,40,/tmp/observe_1774099202132344761.png
5661486543454,5661507243688,20,/tmp/observe_1774099222025544082.png
5712611324678,5712632373964,21,/tmp/observe_1774099273148747514.png
5740236794791,5740257573785,20,/tmp/observe_1774099300764986441.png
5759327817130,5759388742678,60,/tmp/observe_1774099319892031359.png
5776840438097,5776881262176,40,/tmp/observe_1774099337381781592.png
5795849361102,5795890417743,41,/tmp/observe_1774099356402095464.png
5820154141049,5820175098118,20,/tmp/observe_1774099380683549046.png
5840848156294,5840869288800,21,/tmp/observe_1774099401377318728.png
5860022804586,5860084228804,61,/tmp/observe_1774099420601388286.png
