start_ns,end_ns,latency_ms
3248401036077,3251909586114,3508
3251972284035,3259036301332,7064
3259056437265,3325129791287,66073
3325210892252,3337172217184,11961
3337192368812,3359188548565,21996
3359209623400,3379902189708,20692
3379922327120,3392405225263,12482
3392426639844,3421606524888,29179
3421626665490,3432202091674,10575
3432223222016,3440812635125,8589
3440832783093,3448900643967,8067
3448942098373,3464918305831,15976
3464938445861,3493904949828,28966
3493946038434,3510947304227,17001
3510967450671,3524536491001,13569
3524557655111,3535134375687,10576
3535154523767,3544326312849,9171
3544347386689,3554826169629,10478
3554846301474,3565925240133,11078
3565966360417,3576644157204,10677
3576664304730,3587743165142,11078
3587764577163,3597037453420,9272
3597057596098,3607435914436,10378
3607456952558,3618134574676,10677
3618154714392,3629034160235,10879
3629075361283,3644870443667,15795
3644890586489,3655969348201,11078
3655990617225,3666466844647,10476
3666486981994,3677866444387,11379
3677887601004,3690652218151,12764
3690672353094,3736858513795,46186
3736879494198,3765378597299,28499
3765398769386,3777982713569,12583
3778023878573,3793116178680,15092
3793136316236,3804617360694,11481
3804639111036,3814320933466,9681
3814341022462,3827212655912,12871
3827253702647,3837433894399,10180
3837454024511,3854353092409,16899
3854374233191,3871072389933,16698
3871092536917,3899874807423,28782
3899915943150,3911396029396,11480
3911416177606,3931208173084,19791
3931249317004,3943311359182,12062
3943331492421,3957681429029,14349
3957702445686,3967579309471,9876
3967599448838,3992286188897,24686
3992327527658,4002303511529,9975
4002323669591,4013303568773,10979
4013324685965,4025086328503,11761
4025106461688,4037469648863,12363
4037510764839,4048990160781,11479
4049010302960,4058784098397,9773
4058805231622,4069583017964,10777
