start_ns,end_ns,latency_ms
2174367906824,2183341064392,8973
2183433675894,2211904584845,28470
2211948826407,2231709756003,19760
2231729931057,2237590836256,5860
2237602966385,2246363908456,8760
2246431901275,2268012813348,21580
2268032987181,2272093838756,4060
2272117708998,2287688621151,15570
2287702376046,2311383403193,23681
2311403573850,2316464533215,5060
2316502828187,2324963955665,8461
2324999505140,2348380424867,23380
2348400603391,2351602341789,3201
2510885808787,2520607108265,9721
2523629124201,2523689990330,60
2526710773339,2526771708705,60
2529792512141,2529853483361,60
2532874256234,2532935136834,60
2535955926345,2536016767584,60
2539037484823,2539098425609,60
2542119242927,2542180190383,60
2545201043170,2545261898678,60
2548282614149,2548343753501,61
2551364904662,2551425801985,60
2554446552666,2554507445058,60
2557528207500,2557589184213,60
2560609934104,2560670922436,60
2563691766271,2563752652876,60
2566773394125,2566834464009,61
2569855324815,2569916283404,60
2572937112773,2572998126699,61
2576018998090,2576079841149,60
2579100664815,2579161565595,60
2582182285867,2582243303650,61
2585264034634,2585324959837,60
2588345693495,2588406648264,60
2591427418877,2591488371297,60
2594509127108,2594570041491,60
2597590804771,2597651771277,60
2600672575541,2600733601363,61
2603754398066,2603815253858,60
2606835915817,2606896921226,61
2609917675966,2609978650251,60
2612999390494,2613060223242,60
2616080910290,2616142013340,61
2619162791753,2619223839098,61
2622244652367,2622305721315,61
2625358707292,2625419594056,60
2628440383236,2628501436517,61
2631522219955,2631583107185,60
2634603847652,2634664970258,61
2637685778928,2637746729686,60
2640767435031,2640828441332,61
2643849210606,2643910138083,60
2646930887543,2646991940751,61
2650012843799,2650073785148,60
2653094548599,2653155431243,60
2656176214320,2656237319770,61
2659258042779,2659318998728,60
2662339725006,2662400644870,60
2665421472674,2665482386553,60
2668503111877,2668564063001,60
2671584825447,2671645791747,60
2674666504219,2674727461252,60
2677748193862,2677809098187,60
2680829826554,2680890717003,60
2683911467031,2683972365532,60
2686993138401,2687054038250,60
2690074708595,2690135706104,60
2693156414436,2693217426353,61
2696238202554,2696299154639,60
2699319901418,2699380805684,60
2702401596714,2702462689704,61
2705483462892,2705544523497,61
2708565229741,2708626177228,60
2711647013676,2711708037935,61
2714728838296,2714789810614,60
2717810662808,2717871806949,61
2720892595457,2720953485195,60
2723974281667,2724035325488,61
2727056045970,2727116925134,60
2730137699314,2730198739967,61
2733219497997,2733280498372,61
2736301246045,2736362304265,61
2739382992267,2739443986464,60
2742464752163,2742525803576,61
2745546609254,2745607559000,60
2748628285506,2748689353368,61
2751710103079,2751771128078,61
2754791846935,2754852785282,60
2757873564277,2757934506344,60
2760955340934,2761016319614,60
2764037087227,2764098034777,60
2767118813697,2767179685216,60
2770200422987,2770261473101,61
2773282339776,2773343475321,61
3049145237446,3054145403758,5000
3054145512779,3059145711192,5000
3059165875953,3064166080827,5000
3064166153880,3069166333699,5000
3069186499658,3074186716711,5000
3074186796189,3079187018401,5000
3079207214193,3084207406427,5000
3084207471030,3089207686835,5000
3089227865038,3094228076821,5000
3094228148896,3099228342811,5000
3099248500071,3104248706629,5000
3104248780940,3109248984062,5000
3109269175135,3114269370553,5000
3114269444933,3119269635634,5000
3119289809815,3124290072336,5000
3124290148952,3129290348624,5000
3129310523025,3134310729193,5000
3134310796869,3139311020552,5000
3139331201387,3144331399417,5000
3144331476311,3149331664665,5000
3149351817643,3154352040523,5000
3154352113087,3159352308459,5000
3159372491618,3164372676517,5000
3164372735463,3169372931593,5000
3169393101980,3174393312270,5000
3174393387907,3179393592925,5000
3179413759200,3184413952165,5000
3184414046031,3189414253538,5000
3189434445872,3194434635997,5000
3194434701788,3199434904269,5000
3199455055475,3204455526623,5000
3204455823377,3209456287097,5000
3209476489574,3214476935243,5000
3214477229064,3219477457202,5000
3219497623720,3224497857603,5000
3224497937012,3229498203726,5000
3229518365363,3234518627186,5000
3234518698634,3239518942215,5000
3239539112031,3244539356081,5000
3244539431439,3249539632434,5000
3249559798416,3254560055455,5000
3254560142337,3259560373902,5000
3259580530813,3264580767489,5000
3264580856607,3269581096846,5000
3269601264729,3274601504614,5000
3274601579553,3279601891428,5000
3279622178467,3284622421037,5000
3284622498560,3289622733972,5000
3289642996853,3294643265120,5000
3294643327907,3299643575869,5000
3299663764377,3304664062708,5000
3304664145819,3309664375428,5000
3309684528323,3314684773783,5000
3314684881688,3319685170715,5000
3319705379349,3324705642167,5000
3324705719341,3329705985690,5000
3329726187068,3334726433616,5000
3334726505902,3339726743814,5000
3339746897008,3344747134939,5000
3344747220355,3349747445095,5000
3349767596130,3354767887991,5000
3354767978156,3359768197026,5000
3359788349813,3364788583479,5000
3364788644031,3369788830812,5000
3369808991497,3374809654570,5000
3374809879529,3379810345544,5000
3379830632369,3384830858019,5000
3384830942457,3389831191175,5000
3389851354247,3394851573228,5000
3394851648167,3399851932176,5000
3399872123958,3404872365785,5000
3404872419004,3409872813007,5000
3409893063951,3414893339700,5000
3414893415408,3419893680870,5000
3419913858416,3424914132094,5000
